"title" "link"
"1" "
			
				[情報] 兩部《森林王子》改編電影的介紹
			
			" "/bbs/movie/M.1408765125.A.468.html"
"2" "
			
				[新聞] 等一個人咖啡 票房6天破1億
			
			" "/bbs/movie/M.1408768283.A.92A.html"
"3" "
			
				[問片] 一部跟美國記者被恐怖分子綁架有關的電影
			
			" "/bbs/movie/M.1408768459.A.5DD.html"
"4" "
			
				[選片] 忍者龜&浴血任務三
			
			" "/bbs/movie/M.1408774322.A.3CF.html"
"5" "
			
				Re: [好雷] 美國隊長二
			
			" "/bbs/movie/M.1408774882.A.2EB.html"
"6" "
			
				[討論] 只靠本土市場就破一億美金的超強國片
			
			" "/bbs/movie/M.1408777696.A.72E.html"
"7" "
			
				[好雷] LUCY
			
			" "/bbs/movie/M.1408777786.A.FF5.html"
"8" "
			
				[新聞] 珍妮佛蘿倫斯 將加入昆丁新作Hateful 8
			
			" "/bbs/movie/M.1408778191.A.E3E.html"
"9" "
			
				[好無雷] 青天霹靂 - 簡單動人又有新意的親情片
			
			" "/bbs/movie/M.1408779229.A.601.html"
"10" "
			
				Re: [討論] 感覺大宅們只要看youtube就夠了
			
			" "/bbs/movie/M.1408779651.A.8E5.html"
"11" "
			
				[請益] 普羅米修斯與異形的接續關係
			
			" "/bbs/movie/M.1408780622.A.ABC.html"
"12" "
			
				[好雷] 忍者龜 - 變種世代 
			
			" "/bbs/movie/M.1408780781.A.50B.html"
"13" "
			
				[負無雷] 露西LUCY，其實是微電影
			
			" "/bbs/movie/M.1408781839.A.F8B.html"
"14" "
			
				[好雷] 等 一個人 coffee
			
			" "/bbs/movie/M.1408782048.A.84E.html"
"15" "
			
				[請益] 看了等一個人,又重看看那些年
			
			" "/bbs/movie/M.1408782366.A.85C.html"
"16" "
			
				[負雷] 許多漏洞的露西 
			
			" "/bbs/movie/M.1408783305.A.6D1.html"
"17" "
			
				[問片] 看到一個幻想片段
			
			" "/bbs/movie/M.1408783774.A.120.html"
"18" "
			
				[選片] Lucy 和 浴血任務三
			
			" "/bbs/movie/M.1408785070.A.2D2.html"
"19" "
			
				Re: [討論] 哪些演員演的角色根本是在演自己？
			
			" "/bbs/movie/M.1408785307.A.B46.html"
"20" "
			
				[問片] 想請問一個男孩口吃的電影
			
			" "/bbs/movie/M.1408785999.A.EA2.html"
"21" "
			
				[普雷] 不好也不壞的露西 
			
			" "/bbs/movie/M.1408788372.A.6A7.html"
"22" "
			
				[討論] [經典激推]-剌激1995
			
			" "/bbs/movie/M.1408788960.A.B61.html"
"23" "
			
				[普好雷] 腦的宇宙-露西〈Lucy〉 
			
			" "/bbs/movie/M.1408790504.A.410.html"
"24" "
			
				[問片] 想問一群人在鬼屋冒險的驚悚西洋片-猛鬼屋
			
			" "/bbs/movie/M.1408792006.A.E33.html"
"25" "
			
				[普雷] 露西
			
			" "/bbs/movie/M.1408792055.A.680.html"
"26" "
			
				Re: [負雷] 露西 為了所以的因為 
			
			" "/bbs/movie/M.1408792268.A.532.html"
"27" "
			
				[普好雷] 宗教意味濃厚的藝文動作片：露西 
			
			" "/bbs/movie/M.1408792363.A.F1D.html"
"28" "
			
				[問片] 一部解救俘虜的電影
			
			" "/bbs/movie/M.1408795980.A.579.html"
"29" "
			
				[新聞] 新片推薦：《如果我留下》 生死難抉擇
			
			" "/bbs/movie/M.1408796044.A.AA6.html"
"30" "
			
				[問片] 喜劇片片段
			
			" "/bbs/movie/M.1408796472.A.AF2.html"
"31" "
			
				[Live] 21:00 HBO 國定殺戮日(首)
			
			" "/bbs/movie/M.1408797057.A.ADD.html"
"32" "
			
				[Live] 殭屍Rigor Mortis 21:00 衛視電影台
			
			" "/bbs/movie/M.1408797832.A.B25.html"
"33" "
			
				[新聞] 現在不就是拍漫畫英雌電影的最佳時機？
			
			" "/bbs/movie/M.1408799609.A.826.html"
"34" "
			
				[普雷] 人間中毒 ～宋承憲大膽挑戰色戒尺度
			
			" "/bbs/movie/M.1408802240.A.967.html"
"35" "
			
				[新聞] 編輯室報告－鳴梁vs.KANO
			
			" "/bbs/movie/M.1408802642.A.976.html"
"36" "
			
				[新聞] 影城大出糗！　露西海報用露茸
			
			" "/bbs/movie/M.1408803637.A.054.html"
"37" "
			
				[負雷] 咒怨:終結的開始
			
			" "/bbs/movie/M.1408806159.A.83B.html"
"38" "
			
				[普雷] 內容平淡普通的露西 
			
			" "/bbs/movie/M.1408806333.A.148.html"
"39" "
			
				Re: [好雷] Lucy 露西明明就蠻好看的..
			
			" "/bbs/movie/M.1408806347.A.63F.html"
"40" "
			
				[普好雷] 露西
			
			" "/bbs/movie/M.1408806434.A.F16.html"
"41" "
			
				[好雷] 生命中的美好缺憾
			
			" "/bbs/movie/M.1408806851.A.C4A.html"
"42" "
			
				Re: [普雷] 內容平淡普通的露西 
			
			" "/bbs/movie/M.1408807938.A.4CA.html"
"43" "
			
				[神雷] 末路浩劫 The Road - 震撼之作
			
			" "/bbs/movie/M.1408808657.A.51F.html"
"44" "
			
				Re: [普雷] 內容平淡普通的露西 
			
			" "/bbs/movie/M.1408808670.A.F9B.html"
"45" "
			
				[新聞] 軍中樂園床戲　阮經天扮「生澀」阿兵哥
			
			" "/bbs/movie/M.1408809045.A.C5F.html"
"46" "
			
				[新聞] 「想飛」台南造勢 李崗懷念古早蚵仔煎
			
			" "/bbs/movie/M.1408809237.A.95D.html"
"47" "
			
				[好雷] Lucy
			
			" "/bbs/movie/M.1408810192.A.BDE.html"
"48" "
			
				Re: [Live] 殭屍Rigor Mortis 21:00 衛視電影台
			
			" "/bbs/movie/M.1408810195.A.E68.html"
"49" "
			
				[好雷] 電影【百歲老人蹺家去】 9/19 上映
			
			" "/bbs/movie/M.1408810372.A.5B8.html"
"50" "
			
				[好雷] 露西Lucy-物理觀點之我見 
			
			" "/bbs/movie/M.1408810630.A.C9C.html"
"51" "
			
				Re: [討論] 低成本高票房的電影
			
			" "/bbs/movie/M.1408810655.A.058.html"
"52" "
			
				[無雷] LUCY 無雷觀後感
			
			" "/bbs/movie/M.1408810949.A.867.html"
"53" "
			
				[好雷] LUCY很挑觀眾口味的傷腦片 
			
			" "/bbs/movie/M.1408811196.A.920.html"
"54" "
			
				[負雷] 露西-既不科幻也不哲學
			
			" "/bbs/movie/M.1408811600.A.764.html"
"55" "
			
				[討論] 露西哪裡好看?
			
			" "/bbs/movie/M.1408812225.A.0F9.html"
"56" "
			
				[問片] 有一部分成2個世界的電影
			
			" "/bbs/movie/M.1408813470.A.DB9.html"
"57" "
			
				[請益] 請問一下金城武跟成龍有一起拍過電影嗎
			
			" "/bbs/movie/M.1408813916.A.B78.html"
"58" "
			
				[請益] 露西幾個問題
			
			" "/bbs/movie/M.1408814446.A.D24.html"
"59" "
			
				[好雷] 哪啊哪啊~神去村 
			
			" "/bbs/movie/M.1408814466.A.DF2.html"
"60" "
			
				[討論] Lucy 
			
			" "/bbs/movie/M.1408814471.A.A16.html"
"61" "
			
				Re: [普雷] 內容平淡普通的露西 
			
			" "/bbs/movie/M.1408814521.A.C0E.html"
"62" "
			
				[普好雷] 同學會 The Gathering
			
			" "/bbs/movie/M.1408814557.A.6CF.html"
"63" "
			
				[問片] 關於先生是警察太太被姦殺的韓國片 (無法者)
			
			" "/bbs/movie/M.1408814859.A.716.html"
"64" "
			
				Re: [負雷] 露西-既不科幻也不哲學
			
			" "/bbs/movie/M.1408815258.A.FA0.html"
"65" "
			
				Re: [討論] 露西哪裡好看?
			
			" "/bbs/movie/M.1408815422.A.794.html"
"66" "
			
				[片單] 黑白電影中求婚的橋段
			
			" "/bbs/movie/M.1408815422.A.D6F.html"
"67" "
			
				[好雷] 驚悚的惡魔刑事錄
			
			" "/bbs/movie/M.1408815789.A.23E.html"
"68" "
			
				[負雷]Lucy 露西 不比\"全面進化\" 
			
			" "/bbs/movie/M.1408816127.A.0E0.html"
"69" "
			
				Re: [Live] 殭屍Rigor Mortis 21:00 衛視電影台
			
			" "/bbs/movie/M.1408816404.A.5BC.html"
"70" "
			
				[問片] 一部有關人格分裂的片
			
			" "/bbs/movie/M.1408816777.A.5CF.html"
"71" "
			
				[普雷]大宅們 
			
